pruid,prename,report_date,numtotal_all_administered,numtotal_pfizerbiontech_administered,numtotal_moderna_administered,numtotal_unknown,as_of_date,updated
1,Canada,2021-01-12,267078,,,,2021-01-12,1
35,Ontario,2021-01-12,122105,,,,2021-01-10,1
59,British Columbia,2021-01-12,59902,,,,2021-01-11,1
48,Alberta,2021-01-12,46791,,,,2021-01-10,1
47,Saskatchewan,2021-01-12,8948,,,,2021-01-11,1
12,Nova Scotia,2021-01-12,2720,,,,2021-01-05,1
46,Manitoba,2021-01-12,10353,,,,2021-01-11,1
13,New Brunswick,2021-01-12,7732,,,,2021-01-11,1
10,Newfoundland and Labrador,2021-01-12,3760,,,,2021-01-06,1
11,Prince Edward Island,2021-01-12,4226,,,,2021-01-11,1
61,Northwest Territories,2021-01-12,512,,,,2021-01-11,1
62,Nunavut,2021-01-12,29,,,,2021-01-06,1
1,Canada,2021-01-13,288488,,,,2021-01-13,1
35,Ontario,2021-01-13,133553,,,,2021-01-11,1
59,British Columbia,2021-01-13,62294,,,,2021-01-12,1
48,Alberta,2021-01-13,52318,,,,2021-01-11,1
47,Saskatchewan,2021-01-13,9880,,,,2021-01-12,1
12,Nova Scotia,2021-01-13,3831,,,,2021-01-09,1
46,Manitoba,2021-01-13,10353,,,,2021-01-11,0
13,New Brunswick,2021-01-13,7732,,,,2021-01-11,0
10,Newfoundland and Labrador,2021-01-13,3760,,,,2021-01-06,0
11,Prince Edward Island,2021-01-13,4226,,,,2021-01-11,0
61,Northwest Territories,2021-01-13,512,,,,2021-01-11,0
62,Nunavut,2021-01-13,29,,,,2021-01-06,0
1,Canada,2021-01-14,310788,,,,2021-01-14,1
35,Ontario,2021-01-14,144784,,,,2021-01-12,1
59,British Columbia,2021-01-14,63430,,,,2021-01-13,1
48,Alberta,2021-01-14,58144,,,,2021-01-12,1
47,Saskatchewan,2021-01-14,10400,,,,2021-01-13,1
12,Nova Scotia,2021-01-14,3831,,,,2021-01-09,0
46,Manitoba,2021-01-14,12409,,,,2021-01-12,1
13,New Brunswick,2021-01-14,7732,,,,2021-01-11,0
10,Newfoundland and Labrador,2021-01-14,5291,,,,2021-01-13,1
11,Prince Edward Island,2021-01-14,4226,,,,2021-01-11,0
61,Northwest Territories,2021-01-14,512,,,,2021-01-11,0
62,Nunavut,2021-01-14,29,,,,2021-01-06,0
1,Canada,2021-01-15,342227,,,,2021-01-15,1
35,Ontario,2021-01-15,159021,,,,2021-01-13,1
